booking_id,customer_id,booking_date,amount,booking_type,quantity,discount,booking_status,hotel_name,flight_number
1,1097,2024-01-14,272,Hotel,1,94,Pending,"Johnson, Leach and Kim",
2,1077,2023-12-04,907,Hotel,4,7,Completed,"Buckley, Wang and Shaffer",
3,1107,2024-01-17,812,Flight,1,93,Pending,,EA1978
4,1112,2024-05-17,313,Flight,2,83,Cancelled,,LL0838
5,1104,2023-08-25,688,Hotel,1,32,Completed,"Calhoun, Bauer and Jones",
6,1125,2024-04-06,271,Hotel,3,80,Pending,Lee-Erickson,
7,1128,2024-07-01,438,Hotel,3,0,Completed,"Maddox, Williams and Hess",
8,1137,2023-12-14,651,Hotel,2,92,Pending,Miller Ltd,
9,1047,2023-09-20,812,Hotel,3,40,Completed,"Turner, Adams and Fitzgerald",
10,1023,2023-09-26,127,Flight,5,75,Cancelled,,Nb3015
11,1097,2024-05-14,493,Flight,3,15,Cancelled,,Bx9386
12,1047,2023-09-26,639,Flight,5,46,Cancelled,,lK9126
13,1009,2023-09-02,502,Flight,4,48,Cancelled,,rc8684
14,1067,2023-08-27,541,Flight,1,91,Pending,,OR3871
15,1128,2023-10-18,75,Hotel,3,58,Completed,"Vega, Smith and Rubio",
16,1081,2024-06-03,287,Hotel,1,90,Completed,"Johnson, Shaw and Jarvis",
17,1066,2023-10-04,624,Hotel,4,6,Completed,Wells PLC,
18,1064,2023-12-24,36,Hotel,3,79,Cancelled,"Brewer, Martinez and Martin",
19,1096,2023-11-02,971,Hotel,5,80,Cancelled,Ochoa-Castro,
20,1015,2023-08-22,371,Flight,4,53,Completed,,or1916
21,1014,2024-02-25,554,Flight,3,69,Completed,,ek5337
22,1089,2023-11-07,764,Hotel,1,68,Completed,Calderon and Sons,
23,1088,2024-04-18,507,Flight,4,83,Cancelled,,dh7476
24,1057,2024-04-07,427,Hotel,4,24,Completed,"Peterson, Petty and Vaughn",
25,1138,2023-12-01,859,Hotel,3,62,Cancelled,"Oconnor, Warren and Aguirre",
26,1149,2023-08-14,424,Hotel,2,83,Pending,"Collins, Gonzalez and Roberts",
27,1108,2024-05-02,22,Hotel,3,34,Cancelled,Smith LLC,
28,1137,2023-09-30,547,Flight,3,31,Pending,,Ts4042
29,1114,2024-04-21,642,Flight,1,13,Completed,,GN9219
30,1067,2024-05-08,148,Flight,1,70,Completed,,Od2552
