booking_id,customer_id,booking_date,amount,booking_type,quantity,discount,booking_status,hotel_name,flight_number
1,1007,2024-07-22,570,Flight,1,1,Completed,,my6617
2,1093,2023-10-20,296,Hotel,1,14,Cancelled,Mcdonald LLC,
3,1081,2023-09-18,691,Hotel,4,4,Cancelled,Foley and Sons,
4,1036,2023-10-17,361,Hotel,3,75,Completed,"Hines, Lutz and Jimenez",
5,1022,2024-01-29,253,Hotel,2,57,Pending,Booker LLC,
6,1062,2024-01-21,845,Hotel,4,77,Pending,Martinez-Macias,
7,1021,2024-05-20,255,Flight,1,78,Pending,,Xd9493
8,1037,2023-09-10,600,Hotel,3,35,Cancelled,Herrera Ltd,
9,1047,2023-12-19,241,Hotel,2,6,Pending,Daniels-Ross,
10,1099,2024-05-11,839,Flight,1,60,Pending,,Lg1381
11,1049,2023-08-13,988,Hotel,1,26,Pending,Roberts and Sons,
12,1033,2024-04-16,168,Flight,5,22,Completed,,MF4734
13,1006,2024-06-18,644,Flight,4,41,Pending,,fo2655
14,1057,2023-08-12,627,Flight,3,23,Cancelled,,Ky8949
15,1042,2024-06-14,308,Flight,3,79,Cancelled,,Xx2768
16,1078,2024-01-02,211,Hotel,4,76,Cancelled,"Harris, Herrera and Hardin",
17,1099,2023-11-23,605,Flight,5,86,Completed,,PA6672
18,1008,2023-09-15,516,Flight,3,36,Cancelled,,IW1899
19,1038,2023-12-29,112,Hotel,4,6,Cancelled,Hart and Sons,
20,1089,2024-03-11,304,Hotel,4,26,Pending,Solomon-Hanna,
21,1093,2023-10-16,750,Flight,3,51,Completed,,Az9766
22,1030,2024-04-13,936,Flight,2,17,Pending,,eC4367
23,1066,2023-08-14,158,Hotel,5,2,Cancelled,"Parker, Bartlett and Nelson",
24,1099,2024-03-26,340,Hotel,1,94,Cancelled,"Caldwell, Mcintyre and Reyes",
25,1086,2024-01-07,244,Hotel,3,92,Cancelled,Hubbard-Huang,
26,1053,2024-05-22,266,Hotel,3,36,Completed,Reynolds-Johnson,
27,1093,2024-07-02,801,Hotel,4,82,Cancelled,Nguyen-Garrett,
28,1060,2023-08-09,869,Hotel,3,40,Cancelled,Bentley PLC,
29,1056,2023-11-12,783,Hotel,4,83,Cancelled,"Lang, Waters and Cantu",
30,1097,2024-07-19,732,Flight,1,80,Completed,,Vd2445
31,1022,2023-07-27,36,Hotel,3,69,Pending,Miller PLC,
32,1088,2024-02-11,121,Flight,1,64,Completed,,YC5676
33,1048,2024-02-04,116,Flight,1,19,Pending,,St7923
34,1054,2023-11-01,572,Hotel,5,80,Cancelled,Robinson-Kerr,
35,1069,2023-09-02,948,Flight,2,86,Pending,,ny4045
36,1090,2024-06-10,480,Hotel,1,54,Completed,"Smith, Glenn and Wells",
37,1006,2023-09-17,729,Flight,5,68,Completed,,Cn9481
38,1086,2024-01-10,670,Hotel,2,29,Completed,"Murphy, Price and Garcia",
39,1077,2023-09-18,248,Hotel,5,19,Cancelled,"Davis, Ford and Williams",
40,1026,2024-05-18,593,Hotel,3,60,Completed,"Henson, Lee and Clayton",
41,1099,2024-07-01,597,Flight,3,32,Cancelled,,Mf2327
42,1074,2023-11-02,637,Hotel,3,70,Pending,Henry-Gonzalez,
43,1026,2023-11-28,671,Hotel,4,24,Pending,May and Sons,
44,1007,2024-03-14,801,Flight,5,3,Cancelled,,hx1574
45,1039,2023-10-02,558,Flight,3,57,Completed,,xA0048
46,1015,2023-08-15,302,Flight,3,2,Pending,,ov9348
47,1056,2023-12-27,393,Hotel,3,46,Cancelled,Chan-Gordon,
48,1056,2024-01-16,238,Flight,5,86,Completed,,tI5551
49,1013,2024-03-05,969,Hotel,3,62,Cancelled,Arnold Ltd,
50,1030,2024-05-02,654,Hotel,3,61,Completed,Mclaughlin Inc,
51,1017,2024-03-23,695,Hotel,3,88,Pending,"Cannon, Hill and Harrison",
52,1083,2024-01-29,859,Flight,2,30,Completed,,Zu8993
53,1013,2023-09-19,801,Flight,1,26,Pending,,fD7105
54,1023,2024-04-13,798,Hotel,4,74,Pending,"Nelson, Johnson and Sheppard",
55,1050,2024-02-08,898,Hotel,4,43,Pending,Sullivan LLC,
56,1053,2023-10-24,351,Hotel,1,93,Pending,Nelson PLC,
57,1005,2024-02-02,126,Flight,4,17,Completed,,NV8625
58,1056,2024-03-06,454,Hotel,4,17,Completed,Jones-Henry,
59,1035,2024-03-22,804,Hotel,1,6,Completed,"Sullivan, Coleman and Campos",
60,1095,2023-08-26,355,Flight,1,90,Completed,,JW5955
61,1079,2023-08-27,630,Hotel,4,79,Cancelled,"Acosta, Palmer and Burgess",
62,1053,2024-05-15,286,Hotel,1,25,Completed,"Mueller, Warren and Nguyen",
63,1098,2023-10-08,989,Hotel,4,34,Completed,Benitez and Sons,
64,1022,2023-11-05,403,Hotel,3,69,Completed,"Bowen, Mercado and Mason",
65,1003,2023-12-11,54,Hotel,1,94,Pending,Price Ltd,
66,1064,2023-12-22,236,Flight,4,34,Completed,,MA3634
67,1042,2024-05-20,241,Flight,3,95,Cancelled,,tW5304
68,1017,2023-08-29,942,Flight,2,87,Completed,,vV5424
69,1085,2024-07-23,385,Hotel,2,87,Completed,Simmons and Sons,
70,1014,2024-06-24,436,Hotel,3,51,Cancelled,"Randolph, Clark and Williams",
71,1081,2024-05-17,683,Hotel,2,68,Completed,Jennings-Frazier,
72,1022,2023-12-12,57,Flight,2,44,Pending,,ou6693
73,1064,2024-02-13,210,Hotel,4,75,Completed,Jackson and Sons,
74,1019,2023-09-29,103,Hotel,4,34,Completed,Garcia-Franklin,
75,1060,2024-03-28,63,Hotel,5,81,Pending,"Hernandez, Bailey and Flores",
76,1083,2024-07-23,332,Hotel,3,48,Pending,"Franco, Whitaker and Lopez",
77,1013,2023-12-31,788,Hotel,1,2,Cancelled,Richards-Salazar,
78,1033,2024-03-10,161,Flight,4,27,Pending,,hT5881
79,1039,2023-10-16,730,Flight,1,23,Cancelled,,zT4448
80,1002,2023-12-30,528,Flight,1,10,Completed,,YI4259
81,1096,2024-03-23,130,Hotel,4,9,Completed,Carter-May,
82,1086,2024-02-22,996,Flight,2,92,Pending,,KK4876
83,1012,2023-09-29,840,Flight,2,79,Completed,,CS6674
84,1067,2024-04-24,636,Hotel,1,80,Cancelled,Castro-Smith,
85,1001,2023-08-20,368,Hotel,3,4,Completed,Cole PLC,
86,1020,2024-05-11,433,Flight,5,71,Pending,,JJ0925
87,1043,2024-02-24,147,Flight,3,36,Pending,,QF9380
88,1064,2024-02-28,685,Flight,2,21,Completed,,fb7443
89,1087,2024-04-07,819,Hotel,4,30,Pending,Curry and Sons,
90,1009,2024-06-20,168,Hotel,5,19,Cancelled,Floyd PLC,
91,1019,2024-05-18,153,Hotel,5,88,Completed,"Ramirez, Ward and Chavez",
92,1070,2023-09-18,864,Flight,1,26,Cancelled,,yL7362
93,1058,2023-08-13,333,Flight,2,96,Pending,,YU3109
94,1053,2024-04-15,2,Hotel,1,14,Completed,Sanders-Baker,
95,1059,2024-01-08,448,Flight,4,62,Completed,,jr5735
96,1062,2024-07-16,739,Flight,3,94,Completed,,zw4349
97,1078,2024-02-26,184,Flight,4,4,Pending,,dw1320
98,1065,2024-06-19,147,Flight,5,89,Cancelled,,Fl7050
99,1003,2024-07-05,39,Hotel,4,48,Cancelled,Brown-Winters,
100,1030,2024-05-20,989,Flight,5,86,Completed,,LV0095
